64 16 64
0,1529984 0,0625 0,1540969
-4,89595 -0,01199999 -4,9311
4,89595 0,988 4,9311
48 0 0;2,524474 0,01925004 -4,854052
48 0 16;2,524474 0,01925004 -2,388502
48 0 32;2,524474 0,01925004 0,07704842
48 0 48;2,524474 0,01925004 2,542598
32 0 48;0,07649922 0,01925004 2,542598
32 0 32;0,07649922 0,01925004 0,07704842
32 0 16;0,07649922 0,01925004 -2,388502
32 0 0;0,07649922 0,01925004 -4,854052
16 0 0;-2,371476 0,01925004 -4,854052
16 0 16;-2,371476 0,01925004 -2,388502
16 0 32;-2,371476 0,01925004 0,07704842
16 0 48;-2,371476 0,01925004 2,542598
0 0 0;-4,81945 0,01925004 -4,854052
0 0 16;-4,81945 0,01925004 -2,388502
0 0 32;-4,81945 0,01925004 0,07704842
0 0 48;-4,81945 0,01925004 2,542598
33 0 16;0,2294977 0,01925004 -2,388502
33 0 0;0,2294977 0,01925004 -4,854052
33 0 48;0,2294977 0,01925004 2,542598
33 0 32;0,2294977 0,01925004 0,07704842
34 0 0;0,3824961 0,01925004 -4,854052
34 0 16;0,3824961 0,01925004 -2,388502
34 0 32;0,3824961 0,01925004 0,07704842
34 0 48;0,3824961 0,01925004 2,542598
36 0 48;0,688493 0,01925004 2,542598
36 0 32;0,688493 0,01925004 0,07704842
36 0 16;0,688493 0,01925004 -2,388502
36 0 0;0,688493 0,01925004 -4,854052
38 0 0;0,9944897 0,01925004 -4,854052
38 0 16;0,9944897 0,01925004 -2,388502
38 0 32;0,9944897 0,01925004 0,07704842
38 0 48;0,9944897 0,01925004 2,542598
40 0 0;1,300487 0,01925004 -4,854052
40 0 16;1,300487 0,01925004 -2,388502
40 0 32;1,300487 0,01925004 0,07704842
40 0 48;1,300487 0,01925004 2,542598
60 0 48;4,360455 0,01925004 2,542598
60 0 32;4,360455 0,01925004 0,07704842
60 0 16;4,360455 0,01925004 -2,388502
60 0 0;4,360455 0,01925004 -4,854052
56 0 48;3,748461 0,01925004 2,542598
56 0 32;3,748461 0,01925004 0,07704842
56 0 16;3,748461 0,01925004 -2,388502
56 0 0;3,748461 0,01925004 -4,854052
54 0 48;3,442465 0,01925004 2,542598
54 0 32;3,442465 0,01925004 0,07704842
